"name","id","active_rosters","drafted_by","position","years_exp","starts","benched","total_points","started_points","drafted_round","sleeper_id"
"Kenyan Drake",2979843,"St Charles 69ers","NA","RB",-1,2,6,52.4,6.8,0,"0000"
"Latavius Murray",15920,"JC's cursed Interceptors","NA","RB",-1,1,4,44.7,10.3,0,"0000"
"Josh Reynolds",3115306,"Golaso King Seabass","NA","WR",-1,0,1,1.3,0,0,"0000"
"Jets D/ST",-16020,"Slant Boys For Life","NA","D/ST",-1,5,3,59,38,0,"0000"
"Taylor Heinicke",2565969,"Slant Boys For Life,Rainbow sHERBERT","NA","QB",-1,2,5,70.4,28.1,0,"0000"
"Chuba Hubbard",4241416,"Slant Boys For Life","NA","RB",-1,0,8,43.1,0,0,"0000"
"Gus Edwards",3051926,"For Trevor And Ever Amon,St Charles 69ers","NA","RB",-1,2,6,42.1,7.7,0,"0000"
"Evan Engram",3051876,"La La Land,JC's cursed Interceptors","NA","TE",-1,4,0,46.6,46.6,0,"0000"
"Rondale Moore",4372485,"Rainbow sHERBERT,The Tiger  King","mikeoc2891","WR",1,3,1,27.8,24.2,13,"7601"
"Greg Dulcich",4367209,"The Tiger  King,For Trevor And Ever Amon","NA","TE",-1,4,4,44.7,14.4,0,"0000"
"Tyler Boyd",3045144,"Let Russ Cook Deebo's Nutz","NA","WR",-1,3,1,23.4,23.4,0,"0000"
"Malik Willis",4242512,"Let Russ Cook Deebo's Nutz","NA","QB",-1,1,0,1.4,1.4,0,"0000"
"Joshua Palmer",4242433,"JC's cursed Interceptors","NA","WR",-1,3,4,72,47.1,0,"0000"
"Parris Campbell",3121410,"Slant Boys For Life","NA","WR",-1,0,1,8.1,0,0,"0000"
"Harrison Bryant",4040774,"La La Land","NA","TE",-1,1,0,0,0,0,"0000"
"Sam Ehlinger",4241820,"Rainbow sHERBERT","NA","QB",-1,1,0,7.54,7.54,0,"0000"
"Commanders D/ST",-16028,"The Tiger  King","NA","D/ST",-1,3,0,34,34,0,"0000"
"Andy Dalton",14012,"The Tiger  King,Slant Boys For Life,La La Land,Let Russ Cook Deebo's Nutz","NA","QB",-1,3,1,56.68,46.42,0,"0000"
"Deon Jackson",4240455,"Let Russ Cook Deebo's Nutz","NA","RB",-1,1,1,4.6,4.6,0,"0000"
"Isaiah Likely",4361050,"Let Russ Cook Deebo's Nutz","NA","TE",-1,1,0,8.9,8.9,0,"0000"
"Caleb Huntley",4244732,"St Charles 69ers","NA","RB",-1,1,1,6.6,3.4,0,"0000"
"Cardinals D/ST",-16022,"Golaso King Seabass","NA","D/ST",-1,2,1,12,16,0,"0000"
"Dontrell Hilliard",3126246,"Cooks in the kitchen ","NA","RB",-1,1,5,16.9,1.3,0,"0000"
"Jaylen Warren",4569987,"Let Russ Cook Deebo's Nutz,Golaso King Seabass","NA","RB",-1,0,2,12.1,0,0,"0000"
"Terrace Marshall Jr.",4362630,"Let Russ Cook Deebo's Nutz","NA","WR",-1,0,1,4.8,0,0,"0000"
